name,description,cooking_time,difficulty,protein_g,fat_g,carb_g,calories,tags,image_url
鶏むね塩麹焼き,作り置き可。冷蔵5日間。しっとり柔らか,30,easy,38.0,5.2,1.5,198,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むね照り焼き,甘辛タレで食べやすい。冷蔵5日間,35,easy,36.5,6.8,12.3,258,"[""high-protein"",""batchable"",""chicken""]",
鶏むねカレー,スパイス香る。作り置き可,45,medium,32.0,8.5,48.0,396,"[""high-protein"",""high-carb"",""batchable"",""chicken""]",
サラダチキン,コンビニ風。冷蔵7日間,40,easy,35.0,2.1,0.5,161,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むね親子丼,卵でボリュームアップ。作りたて推奨,20,easy,40.2,12.5,65.0,532,"[""high-protein"",""high-carb"",""chicken"",""egg""]",
鶏むねピカタ,卵衣でふっくら。冷蔵3日間,25,medium,38.5,11.2,4.8,272,"[""high-protein"",""batchable"",""chicken"",""egg""]",
鶏むねチャーシュー,ラーメンにも。冷蔵5日間,60,medium,36.0,7.5,8.2,244,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むねしょうが焼き,ご飯に合う。作りたて推奨,20,easy,35.8,6.3,10.5,242,"[""high-protein"",""chicken""]",
鶏むねねぎ塩,さっぱり。冷蔵4日間,25,easy,36.5,5.8,2.3,204,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むねトマト煮込み,イタリアン。冷蔵5日間,40,medium,34.0,7.2,15.8,270,"[""high-protein"",""batchable"",""chicken""]",
鶏むね大葉巻き,爽やか風味。冷蔵3日間,30,medium,37.0,5.5,1.8,198,"[""high-protein"",""low-fat"",""batchable"",""chicken""]",
鶏むね梅肉和え,さっぱり。作りたて推奨,15,easy,35.2,4.8,2.5,192,"[""high-protein"",""low-fat"",""quick"",""chicken""]",
鶏むねマヨポン,子供も好きな味。冷蔵3日間,20,easy,36.0,10.5,3.2,248,"[""high-protein"",""batchable"",""chicken""]",
鶏むねガーリック炒め,スタミナ系。作りたて推奨,15,easy,37.5,8.2,4.0,242,"[""high-protein"",""quick"",""chicken""]",
鶏むね棒々鶏,ゴマダレ濃厚。冷蔵4日間,35,medium,34.5,14.2,8.5,302,"[""high-protein"",""batchable"",""chicken"",""chinese""]",
ゆで卵,作り置きの定番。冷蔵5日間,12,easy,12.9,10.3,0.3,151,"[""high-protein"",""batchable"",""quick"",""egg""]",
卵焼き,お弁当に。冷蔵3日間,10,easy,18.5,15.2,2.8,232,"[""high-protein"",""batchable"",""quick"",""egg""]",
